code, lat, lng, point, alt, name, region, name_k, region_k
JA8/KK-050,44.1377,142.7512,6,1000,Iwaodake,Shibetsu-city<JCC#0120>,岩尾岳,北海道士別市<JCC#0120>
JA8/KK-052,43.118,142.7315,6,985,Karikatsuyama,Minamifurano<JCG#01043C>,狩勝山,北海道空知郡南富良野町<JCG#01043C>
JA8/KK-053,43.1135,142.569,6,982,Kokkyoyama,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,国境山,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-054,44.1549,142.0723,6,980,P980,Uryu-gun<JCG#01081A>Rumoi-gun<JCG#01077A>,点980(小平蘂岳近傍),北海道雨竜郡幌加内町<JCG#01081A>北海道留萌郡小平町<JCG#01077A>
JA8/KK-055,44.5552,142.4901,6,954,Nyupuyama,Nkakagawa(Kamikawa)-gun<JCG#01050C>,入布山,北海道中川郡美深町<JCG#01050C>
JA8/KK-056,43.0743,142.6344,6,952,P952,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,点952,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-057,42.8868,142.3789,6,932,Usappu,Yufutsu(kamikawa)-gun<JCG#01074A>Saru-gun<JCG#01031A>Saru-gun<JCG#01031B>,右左府(三角点),北海道勇払郡占冠村<JCG#01074A>北海道沙流郡日高町<JCG#01031A>北海道沙流郡平取町<JCG#01031B>
JA8/KK-058,44.4583,142.8076,6,920,P920,Kawakami(kawakami)-gun<JCG#01023H>Mombetsu-gun<JCG#01070E>,点920,北海道上川郡下川町<JCG#01023H>北海道紋別郡雄武町<JCG#01070E>
JA8/KK-059,44.6116,142.4727,6,915,Byobudake,Nkakagawa(Kamikawa)-gun<JCG#01050C>Esashi-gun<JCG#01015B>,屏風岳(三角点),北海道中川郡美深町<JCG#01050C>北海道枝幸郡枝幸町<JCG#01015B>
JA8/KK-060,44.1665,142.6363,6,914,Itoidake,Shibetsu-city<JCC#0120>Kawakami(kawakami)-gun<JCG#01023H>,糸魚岳,北海道士別市<JCC#0120>北海道上川郡下川町<JCG#01023H>
JA8/KK-061,43.0973,142.3647,6,910,Ronebetsuyama,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,老根別山,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-062,44.1702,142.7828,6,899,P899,Shibetsu-city<JCC#0120>Kawakami(kawakami)-gun<JCG#01023H>,点899,北海道士別市<JCC#0120>北海道上川郡下川町<JCG#01023H>
JA8/KK-063,44.2622,142.7656,6,883,P883,Kawakami(kawakami)-gun<JCG#01023H>,点883,北海道上川郡下川町<JCG#01023H>
JA8/KK-064,43.0895,142.3473,6,872,P872,Yufutsu(kamikawa)-gun<JCG#01074A>Sorachi(kamikawa)-gun<JCG#01043C>,点872,北海道勇払郡占冠村<JCG#01074A>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-065,43.0461,142.554,6,866,P866,Yufutsu(kamikawa)-gun<JCG#01074A>,点866,北海道勇払郡占冠村<JCG#01074A>
JA8/KK-066,44.1538,142.7022,6,861,Towariyama,Shibetsu-city<JCC#0120>,登和里山,北海道士別市<JCC#0120>
JA8/KK-067,43.5443,142.3218,6,859,Rubeshibeyama,Kawakami(kawakami)-gun<JCG#01023I>Shibetsu-city<JCC#0120>Asahikawa-ku<JCC#0102>,瑠辺蘂山,北海道上川郡美瑛町<JCG#01023I>北海道芦別市<JCC#0120>北海道旭川市<JCC#0102>
JA8/KK-068,43.1964,142.5262,6,858,Ichinoyama,Furano-city<JCC#0129>Sorachi(kamikawa)-gun<JCG#01043C>,一ノ山,北海道富良野市<JCC#0129>北海道空知郡南富良野町<JCG#01043C>
JA8/KK-069,43.1534,142.6383,4,844,Ochiai,Minamifurano<JCG#01043C>,落合(三角点),北海道空知郡南富良野町<JCG#01043C>
JA8/KK-070,43.2428,142.5522,4,843,Maruyama,Furano-city<JCC#0129>,丸山,北海道富良野市<JCC#0129>
JA8/KK-071,44.2069,142.765,4,841,P841,Kawakami(kawakami)-gun<JCG#01023H>,点841,北海道上川郡下川町<JCG#01023H>
JA8/KK-073,44.0414,142.5691,4,837,Otsubuyama,Shibetsu-city<JCC#0120>,乙部山,北海道士別市<JCC#0120>
JA8/KK-074,43.9904,142.5169,4,828,P828,Shibetsu-city<JCC#0120>Kawakami(kawakami)-gun<JCG#01023F>,点828,北海道士別市<JCC#0120>北海道上川郡比布町<JCG#01023F>
JA8/KK-075,43.9803,142.5414,4,820,Pankeiyama,Kawakami(kawakami)-gun<JCG#01023F>Kawakami(kawakami)-gun<JCG#01023G>,班渓山,北海道上川郡比布町<JCG#01023F>北海道上川郡愛別町<JCG#01023G>
JA8/KK-076,43.926,142.6741,4,818,Nakaaibetsuyama,Kawakami(kawakami)-gun<JCG#01023G>,中愛別山,北海道上川郡愛別町<JCG#01023G>
JA8/KK-077,44.0446,142.0936,4,804,P804,Uryu-gun<JCG#01081A>Fukagawa-city<JCC#0128>,点804,北海道雨竜郡幌加内町<JCG#01081A>北海道深川市<JCC#0128>
JA8/KK-078,43.6898,142.2188,4,799,Kamuiyama,Asahikawa-ku<JCC#0102>,神居山,北海道旭川市<JCC#0102>
